Entidad;Nit Entidad;Departamento Entidad;Ciudad Entidad;;
ALCALDIA MUNICIPIO DE LA PAZ;8902053083;No Definido;No Definido;;
MUNICIPIO EL COPEY;800096587;No Definido;No Definido;;
ALCALDIA MUNICIPAL DE CORDOBA;800038613;No Definido;No Definido;;
SENA REGIONAL HUILA Grupo Administrativo CADP;899999034;Huila;Garzón;;
SUPERINTENDENCIA DE NOTARIADO Y REGISTRO;899999007;Distrito Capital de Bogotá;No Definido;;
ALCALDIA MUNICIPIO DE JARDÍN;890982294;No Definido;No Definido;;
MUNICIPO DE VENTAQUEMADA;891800986;Boyacá;Ventaquemada;;
MUNICIPIO DE SUAITA;890204985;No Definido;No Definido;;
CENTRO DE DIAGNOSTICO AUTOMOTOR DEL VALLE LIMITADA;890311425;No Definido;No Definido;;
DIRECCION NACIONAL DE DERECHO DE AUTOR;800185929;Distrito Capital de Bogotá;No Definido;;
ALCALDIA MUNICIPAL DE SAMPUES SUCRE;892280055;Sucre;Sampués;;
INSTITUTO MUNICIPAL DE EDUCACION FISICA; DEPORTE Y RECREACION DE RIONEGRO;890985523;Antioquia;Rionegro;
CONCEJO MUNICIPAL CORRALES;891855748;Boyacá;No Definido;;
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE PACORA;810001336;Caldas;Pácora;;
COLEGIO ROBERTO GARCIA PEÑA;800228813;Santander;Girón;;
MINISTERIO DE RELACIONES EXTERIORES;899999042;Distrito Capital de Bogotá;Bogotá;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO LA CEJA;811010105;Distrito Capital de Bogotá;Bogotá;;
RESGUARDO INDIGENA CRISTIANIA;800224198;Antioquia;Jardín;;
ALCALDIA LOCAL DE TUNJUELITO;899999061;Distrito Capital de Bogotá;No Definido;;
POLICIA METROPOLITANA DE CUCUTA*;900259415;No Definido;No Definido;;
CONTRALORÍA MUNICIPAL DE TULUÁ;900623073;Valle del Cauca;Tuluá;;
CONTRALORIA GENERAL DE LA REPUBLICA -GERENCIA DEPARTAMENTAL VICHADA;899999067;Vichada;Puerto Carreño;;
