Entidad;Nit Entidad;Departamento Entidad;Ciudad Entidad;;
CORPOAMAZONIA - CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL SUR DE LA AMAZONIA;800252844;Putumayo;Mocoa;;
MUNICIPIO DE CUBARA BOYACA;800099196;No Definido;No Definido;;
ALCALDIA MUNICIPIO DE SABANETA;890980331;No Definido;No Definido;;
ASOCIACION AEROPUERTO DEL CAFE;900240084;Distrito Capital de Bogotá;Bogotá;;
UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;899999230;Valle del Cauca;Buenaventura;;
INSTITUTO DE DESARROLLO URBANO;899999081;Distrito Capital de Bogotá;No Definido;;
COMISION DE REGULACION DE ENERGIA Y GAS;900034993;Distrito Capital de Bogotá;Bogotá;;
ORQUESTA FILARMONICA DE BOGOTA;899999282;No Definido;No Definido;;
MUNICIPIO DE ALTAMIRA;891180118;No Definido;No Definido;;
FISCALÍA GENERAL DE LA NACIÓN REGIONAL NOROCCIDENTAL;800187597;No Definido;No Definido;;
INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR DE JERICO;890981143;Antioquia;Jericó;;
COMISIÓN DE REGULACIÓN DE AGUA POTABLE Y SANEAMIENTO BÁSICO;830000212;Distrito Capital de Bogotá;No Definido;;
SECRETARÍA DISTRITAL DE MOVILIDAD;8999990619;No Definido;No Definido;;
EMPRESA DE SERVICIOS PÚBLICOS DE ANDES S.A E.S.P;900691110;Antioquia;Andes;;
SECRETARIA DISTRITAL DE HACIENDA;899999061;No Definido;No Definido;;
INSTITUTO DE CULTURA; RECREACION Y DEPORTE DE PITALITO;900809150;Huila;Pitalito;
MUNICIPIO DE CABUYARO;892099232;No Definido;No Definido;;
CENTRAL ADMINISTRATIVA Y CONTABLE - CENAC - PASTO;900363756;Nariño;Pasto;;
INSTITUTO DISTRITAL DE TURISMO DE SANTA MARTA;901131788;Magdalena;Santa Marta;;
INSTITUTO DE HIDROLÓGICA; METEOROLOGÍA Y ESTUDIOS AMBIENTALES;830000602;No Definido;No Definido;
E.S.E CENTRO DE SALUD COTORRA;812003726;Córdoba;Cotorra;;
FEDERACION NACIONAL DE PRODUCTORES DE PANELA - FEDEPANELA;800059441;No Definido;No Definido;;
MINISTERIO DE MINAS Y ENERGIA;899999022;Distrito Capital de Bogotá;No Definido;;
DIRECCIÓN DE INTELIGENCIA POLICIAL;830000097;Distrito Capital de Bogotá;No Definido;;
MUNICIPIO DE ENVIGADO 2020;890907106;Antioquia;Envigado;;
MINISTERIO DEL TRABAJO DIRECCIÓN BOYACA;830115226;Boyacá;Tunja;;
CONTRALORIA MUNICIPAL DE BUCARAMANGA;890211142;No Definido;No Definido;;
INSTITUCION EDUCATIVA DEPARTAMENTAL GIRON DE BLANCOS;832009544;Cundinamarca;Caqueza;;
FISCALÍA GENERAL DE LA NACIÓN REGIONAL CENTRAL;800187567;Distrito Capital de Bogotá;Bogotá;;
DEFENSA CIVIL COLOMBIANA;8999997171;Distrito Capital de Bogotá;No Definido;;
ALCALDIA LOCAL DE SUMAPAZ;899999061;Distrito Capital de Bogotá;No Definido;;
CONTRALORIA GENERAL DE CALDAS;800077897;Caldas;Manizales;;
ALCALDIA MUNICIPAL DE LA JAGUA DE IBIRICO;800108683;Cesar;La Jagua De Ibirico;;
INSTITUCION EDUCATIVA RURAL DEPARTAMENTAL MECADILLO PRIMERO;832006685;Cundinamarca;Caqueza;;
CORPORACIÓN AUTONOMA REGIONAL DE CHIVOR CORPOCHIVOR;800252037;Boyacá;Garagoa;;
EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE VIOTA;890680032;No Definido;No Definido;;
POLICIA METROPOLITANA DE SANTA MARTA;900552743;Magdalena;Santa Marta;;
MUNICIPIO DE SAMACA;800016757;No Definido;No Definido;;
CENTRAL ADMINISTRATIVA Y CONTABLE BARRANQUILLA;800130653;Atlántico;Barranquilla;;
INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR REGIONAL META;899999239;Meta;Villavicencio;;
HOSPITAL GUSTAVO GONZALEZ OCHOA;890982113;No Definido;No Definido;;
CAJA DE RETIRO DE LAS FUERZAS MILITARES;899999118;Distrito Capital de Bogotá;Bogotá;;
MUNICIPIO DE CHIQUIZA;800099723;No Definido;No Definido;;
ALCALDIA LOCAL DE ANTONIO NARIÑO;899999061;Distrito Capital de Bogotá;Bogotá;;
UNIDAD ADMINISTRATIVA ESPECIAL DE SERVICIOS PÚBLICOS;900126860;No Definido;No Definido;;
HONDA TRIPLE A S.A.S E.S.P.;900981399;Tolima;Honda;;
ESAP TERRITORIAL SANTANDER;800117540;Santander;Bucaramanga;;
ALCALDÍA MUNICIPAL COTA;899999705;Cundinamarca;Cota;;
COMANDO AEREO DE COMBATE No. 4;800141632;Tolima;Melgar;;
INSTITUTO DEPARTAMENTAL DE CULTURA; DEPORTE Y TURISMO DEL CAQUETA;891190167;Caquetá;Florencia;
MUNICIPIO DE FILADELFIA;890801144;Caldas;Filadelfia;;
MINISTERIO DE TRABAJO;830115226;No Definido;No Definido;;
SENA REGIONAL SANTANDER Grupo Administrativo CIDT;899999034;Santander;Barrancabermeja;;
CAJA DE SUELDOS DE RETIRO DE LA POLICIA NACIONAL;899999073;Distrito Capital de Bogotá;No Definido;;
CONCEJO MUNICIPAL ARATOCA  SANTANDER;890205334;Santander;Aratoca;;
INSTITUTO MUNICIPAL DEL DEPORTE Y RECREACION DE LA ESTRELLA;800003935;Antioquia;La Estrella;;
ALCALDIA MUNICIPIO DE NECOCLI;890983873;No Definido;No Definido;;
DEPARTAMENTO DEL VALLE DEL CAUCA-SECRETARIA DE GESTION DEL RIESGO DE DESASTRES;8903990295;Valle del Cauca;Cali;;
INSTITUTO DE DEPORTE Y RECREACION DE SAN JUAN NEPOMUCENO;806006900;Bolívar;San Juan Nepomuceno;;
SERVICIOS POSTALES NACIONALES S.A.;900062917;Distrito Capital de Bogotá;No Definido;;
ESAP TERRITORIAL CUNDINAMARCA;830011682;Cundinamarca;Fusagasugá;;
INSTITUTO DISTRITAL DE DEPORTE Y RECREACION DE CARTAGENA - IDER;800232726;Bolívar;Cartagena;;
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;890270948;No Definido;No Definido;;
GOBERNACION DEL VALLE - SECRETARIA DE CULTURA;890399029;Valle del Cauca;Cali;;
Empresa de Servicios Públicos de Paratebueno ESP;822005431;Cundinamarca;Paratebueno;;
SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO (SIC);800176089;Distrito Capital de Bogotá;Bogotá;;
CGR GERENCIA DEPARTAMENTAL HUILA;899999067;Huila;Neiva;;
INSTITUTO DISTRITAL DE PATRIMONIO CULTURAL;860506170;Distrito Capital de Bogotá;Bogotá;;
ARMADA NACIONAL BASE NAVAL ARC MALAGA;800141658;Valle del Cauca;Buenaventura;;
SENA - REGIONAL SANTANDER;899999034;Santander;Barrancabermeja;;
MUNICIPIO DE OTANCHE;891801362;Boyacá;Otanche;;
ALCALDÍA MUNICIPAL DE SALAMINA MAGDALENA;891780053;No Definido;No Definido;;
CONTRALORIA MUNICIPAL DE ENVIGADO;811031484;Antioquia;Envigado;;
UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA;890399029;Valle del Cauca;Cali;;
UNIVERSIDAD DEL VALLE;890399010;No Definido;No Definido;;
MUNICIPIO DE ARMENIA - QUINDIO;890000464;No Definido;No Definido;;
EMPRESA DE SERVICIOS PUBLICOS DE VALLEDUPAR S.A.;892300548;Cesar;Valledupar;;
RED DE SALUD DEL CENTRO ESE;805027261;No Definido;No Definido;;
GOBERNACION DEL VALLE - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA Y FINANZAS PUBLICAS;8903990295;Valle del Cauca;Cali;;
SENA REGIONAL ANTIOQUIA Grupo Administrativo CTTAOA?;899999034;Antioquia;Santafé De Antioquia;;
BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No.6;800141688;Sucre;Coveñas;;
INSTITUCIÓN EDUCATIVA RÍO VERDE BAJO;800050394;No Definido;No Definido;;
ESAP TERRITORIAL NORTE DE SANTANDER ARAUCA;800145876;Norte de Santander;Cúcuta;;
UNIDAD ADMINISTRATIVA ESPECIAL DE PENSIONES DE CUNDINAMARCA;900594384;Distrito Capital de Bogotá;No Definido;;
ALCALDIA LOCAL DE SUBA;899999061;Distrito Capital de Bogotá;No Definido;;
ELECTRIFICADORA DEL META S.A E.S.P;892002210;Meta;Villavicencio;;
MUNICIPIO DE JENESANO;891801376;Boyacá;Jenesano;;
I. E. DEPARTAMENTAL DE UBALA;832008357;Cundinamarca;Ubalá;;
INSTITUTO DISTRITAL DE SANTA MARTA PARA LA RECREACIÓN Y EL DEPORTE;901132407;No Definido;No Definido;;
MUNICIPIO SAN JOSÉ DEL GUAVIARE;800103180;Guaviare;San José Del Guaviare;;
CONTRALORIA MUNICIPAL DE IBAGUE;890706867;Tolima;Ibagué;;
HOSPITAL DEPARTAMENTAL SAN ANTONIO DE ROLDANILLO;891900343;Valle del Cauca;Cali;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CHAPARRAL;809003264;Distrito Capital de Bogotá;Bogotá;;
Persona natural;94285889;No Definido;No Definido;;
MINISTERIO DEL TRABAJO;807006594;Norte de Santander;Cúcuta;;
INSTITUCION EDUCATIVA INSTITUTO PARCELAS;9000161454;No Definido;No Definido;;
ALCALDÍA MUNICIPIO DE GÜICÁN;800099202;Boyacá;Güicán;;
ALCALDÍA MUNICIPAL DE RIÓ QUITO;818000899;Chocó;Río Quito;;
DIRECCION TERRITORIAL DEL CESAR MINISTERIO DE TRABAJO;830115226;Cesar;Valledupar;;
MUNICIPIO DE SINCELEJO;800104062;Sucre;Sincelejo;;
MUNICIPIO DE VILLANUEVA;890206250;Distrito Capital de Bogotá;Bogotá;;
CONCEJO MUNICIPAL PIEDRAS TOLIMA;809003045;Tolima;Piedras;;
CÁRCEL Y PENITENCIARIA DE MEDIA SEGURIDAD DE TUNJA;820003774;Boyacá;Tunja;;
INSTITUCION EDUCATIVA SAN ISIDRO;809005992;Tolima;Ibagué;;
BUGA ABASTOS DE GUADALAJARA DE BUGA;815000842;Valle del Cauca;Guadalajara De Buga;;
ALCALDIA DE POPAYAN;891580006;No Definido;No Definido;;
BATALLÓN DE COMANDO Y APOYO DE I.M No.2;835001359;Valle del Cauca;Buenaventura;;
SENA REGIONAL BOYACA Grupo Administrativo CDAA;899999034;Arauca;Arauca;;
ICBF REGIONAL ARAUCA;899999239;Arauca;Arauca;;
MUNICIPIO DE SUTATENZA;800028576;No Definido;No Definido;;
GRUPO DE CABALLERIA MECANIZADO No 18;800130812;Arauca;Saravena;;
INSTITUCION EDUCATIVA MUNICIPAL MANUELA AYALA DE GAITAN;8999991323;Cundinamarca;Facatativá;;
BATALLON DE APOYO Y SERVICIO PARA EL COMBATE N°15;818000606;Chocó;Quibdó;;
ESE HOSPITAL SAN BERNARDO;890802223;Caldas;Manizales;;
MUNICIPIOS ASOCIADOS DEL VALLE;900991825;No Definido;No Definido;;
RECLUSION DE MUJERES DE POPAYAN - INPEC;817001267;Cauca;Popayán;;
BATALLON DE APOYO Y SERVICIOS PARA EL COMBATE Nº 19;800131272;Distrito Capital de Bogotá;Bogotá;;
EMPRESA DE DESARROLLO URBANO Y VIVIENDA DE INTERES SOCIAL DE BARRANCABERMEJA;890270833;Santander;Barrancabermeja;;
ESTABLECIMIENTO PENITENCIARIO LAS HELICONIAS;900416823;Caquetá;Florencia;;
EMPRESAS PUBLICAS MUNICIPALES DE BELÉN DE UMBRÍA SAS ESP;8160033791;Risaralda;Belén De Umbría;;
ICBF REGIONAL SUCRE;899999239;Sucre;Sincelejo;;
ALCALDIA MUNICIPAL DE SABOYA;800028517;Boyacá;Saboyá;;
ALCALDIA DEL MUNICIPIO DE DIBULLA;825000134;No Definido;No Definido;;
ALCALDIA MUNICIPAL DE UBALA;899999385;Cundinamarca;Junín;;
EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD TAUSA;832008321;No Definido;No Definido;;
INSTITUTO DISTRITAL DE PROTECCION Y BIENESTAR ANIMAL;901097324;Distrito Capital de Bogotá;No Definido;;
MINISTERIO DEL TRABAJO DIRECCION TERRITORIAL DE RISARALDA;816007249;No Definido;No Definido;;
INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL CORDOBA;899999069;Córdoba;Montería;;
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA;8290007456;Santander;Barrancabermeja;;
MUNICIPIO DE ROSAS;8000959834;Cauca;Rosas;;
INSTITUCION EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO;800249216;No Definido;No Definido;;
EMPRESA SOCIAL DEL ESTADO HOSPITAL MARÍA AUXILIADORA;891103968;Huila;Neiva;;
INSTITUTO DEPARTAMENTAL DE DEPORTES DE ANTIOQUIA;811007127;Antioquia;Medellín;;
ESTABLECIMIENTO CARCELARIO DE ZIPAQUIRA;832001785;Cundinamarca;Zipaquirá;;
MUNICIPIO DE EL PLAYON;890208199;Santander;El Playón;;
DEPARTAMENTO ADMINISTRATIVO DEL SERVICIO CIVIL DISTRITAL;8999990619;Distrito Capital de Bogotá;No Definido;;
SUPERINTENDENCIA DEL SUBSIDIO FAMILIAR;860503600;Distrito Capital de Bogotá;Bogotá;;
CONTRALORÍA GENERAL DE LA REPÚBLICA- CGR-GERENCIA DEPARTAMENTAL TOLIMA;899999067;Tolima;Ibagué;;
DEPARTAMENTO DE POLICIA QUINDIO;800140986;Quindío;Armenia;;
MUNICIPIO EL COCUY;891857844;Boyacá;El Cocuy;;
MINISTERIO DEL TRABAJO DIRECCION TERRITORIAL BOLIVAR;806011177;Bolívar;Cartagena;;
INSTITUCION EDUCATIVA DEPARTAMENTAL JOSE HUGO ENCISO;8000095907;Cundinamarca;Anolaima;;
PERSONERIA MUNICIPAL DE RESTREPO - VALLE DEL CAUCA;891902191;Valle del Cauca;Restrepo;;
SENA REGIONAL NARIÑO CENTRO SUR COLOMBIANO DE LOGISTICA INTERNACIONAL;899999034;Nariño;Ipiales;;
INSTITUCION EDUCATIVA RURAL SANPEREGRINO MANIZALES;890807930;Caldas;Manizales;;
INSTITUTO DEPARTAMENTAL DE DEPORTE Y RECREACIÓN DE BOLIVAR;806005353;Distrito Capital de Bogotá;Bogotá;;
DIRECCION GENERAL MARITIMA - INRED 4;806006269;Bolívar;Cartagena;;
SENA-REGIONAL ATLANTICO -CENTRO PARA EL DESARROLLO AGROECOLOGICO Y AGROINDUSTRIAL;899999034;Atlántico;Sabanalarga;;
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ - E.S.P.;899999094;No Definido;No Definido;;
ICBF REGIONAL GUAJIRA;899999239;La Guajira;Riohacha;;
INSTITUCION EDUCATIVA AURELIANO FLOREZ CARDONA;890804669;No Definido;No Definido;;
CORPORACIÓN AUTONOMA REGIONAL DEL TOLIMA;890704536;No Definido;No Definido;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE HONDA;809003291;Tolima;Honda;;
CENTRO CULTURAL BACATA;832006487;Cundinamarca;Funza;;
CONTRALORIA GENERAL DE LA REPUBLICA-CGR- GERENCIA DEPARTAMENTAL ATLÁNTICO;899999067;Atlántico;Barranquilla;;
ALCALDIA MUNICIPIO DE CIRCASIA QUINDIO;890001044;Quindío;Circasia;;
INSTITUTO DEPARTAMENTAL DE DEPORTES DEL MAGDALENA;8190008433;No Definido;No Definido;;
CENTRO DE MEDICINA NAVAL;9014332637;Distrito Capital de Bogotá;Bogotá;;
UNIDAD PRESTADORA DE SALUD SANTANDER;901361090;Santander;Bucaramanga;;
ALCALDIA MUNICIPAL DE TINJACA;800028436;Boyacá;Tinjacá;;
CONTRALORIA GENERAL DE LA REPUBLICA-CGR- GERENCIA DEPARTAMENTAL ANTIOQUIA;899999067;Antioquia;Medellín;;
MUNICIPIO DE SANTIAGO DE CALI - SECRETARIA DE TURISMO;890399011;Valle del Cauca;Cali;;
INSTITUCION EDUCATIVA DISTRITAL COMUNITARIA OCTAVIO PAZ;802007707;Atlántico;Barranquilla;;
MINISTERIO DE CULTURA;830034348;No Definido;No Definido;;
ALCALDIA DE MALAMBO;8901143351;No Definido;No Definido;;
ALCALDÍA  MUNICIPIO DE SIACHOQUE;891801911;No Definido;No Definido;;
MINISTERIO DEL TRABAJO DIRECCION TERRITORIAL DEL TOLIMA;809010738;Tolima;Ibagué;;
ASAMBLEA DEPARTAMENTAL DE ANTIOQUIA;890900286;Antioquia;Medellín;;
MUNICIPIO DE BERBEO;800099390;Boyacá;Berbeo;;
POLICIA METROPOLITANA DE POPAYAN;900593683;Cauca;Popayán;;
MUNICIPIO DE PENSILVANIA;890801137;No Definido;No Definido;;
DIRECCION EJECUTIVA DE LA JUSTICIA PENAL MILITAR;900384997;Arauca;Arauca;;
EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE DUITAMA;891855438;No Definido;No Definido;;
SENA - CENTRO LATINOAMERICANO DE ESPECIES MENORES TULUA;899999034;Valle del Cauca;Tuluá;;
MUNICIPIO DE TARAZA;890984295;No Definido;No Definido;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO SOCORRO;804004058;Distrito Capital de Bogotá;Bogotá;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PUERTO BERRIO;811010107;Antioquia;Puerto Berrío;;
ALCALDIA MUNICIPIO DE ARGELIA;891500725;No Definido;No Definido;;
MUNICIPIO DE SANTIAGO DE CALI - SECRETARIA DE DESARROLLO TERRITORIAL Y PARTICIPACION CIUDADANA;890399011;Valle del Cauca;Cali;;
ESAP SEDE CENTRAL (Cuenta Oficial);899999054;No Definido;No Definido;;
FONDO DE GARANTÍAS DE ENTIDADES COOPERATIVAS - FOGACOOP;830053319;Distrito Capital de Bogotá;No Definido;;
MUNICIPIO DE BELEN;800099199;No Definido;No Definido;;
INSTITUCIÓN EDUCATIVA DEPARTAMENTAL AGROPECUARIO LA SIERRA;800012035;No Definido;No Definido;;
MUNICIPIO ALCALDIA DE ONZAGA;890208148;Distrito Capital de Bogotá;Bogotá;;
EMPRESA DE SERVICIOS PÚBLICOS LA UNIÓN S.A E.S.P;811014879;Antioquia;La Unión;;
ALCALDIA ZIPACON;800094778;No Definido;No Definido;;
METROPARQUES;890984630;No Definido;No Definido;;
GUAVIARE SANIDAD;8002527222;Guaviare;San José Del Guaviare;;
SUPERINTENDENCIA FINANCIERA DE COLOMBIA;890999057;Distrito Capital de Bogotá;Bogotá;;
SENA REGIONAL CUNDINAMARCA Grupo Administrativo CTDPE;899999034;Cundinamarca;Girardot;;
AGENCIA NACIONAL DE MINERIA;900500018;Distrito Capital de Bogotá;Bogotá;;
CENTRAL ADMINISTRATIVA Y CONTABLE - CENAC- FLORENCIA;808001433;Caquetá;Florencia;;
ICBF REGIONAL CESAR;899999239;No Definido;No Definido;;
MUNICIPIO DE QUIPAMA;800029513;No Definido;No Definido;;
SECRETARÍA DE LA FUNCIÓN PÚBLICA - DEPARTAMENTO DE CUNDINAMARCA;899999114;Distrito Capital de Bogotá;Bogotá;;
MUNICIPIO SAN VICENTE DEL CAGUAN;800095785;No Definido;No Definido;;
SENA REGIONAL SANTANDER Grupo de Apoyo Administrativo Mixto;899999034;Arauca;Arauca;;
DEPARTAMENTO DE POLICIA PUTUMAYO;800141203;Putumayo;Mocoa;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PAZ DE ARIPORO;844000697;Distrito Capital de Bogotá;Bogotá;;
MINISTERIO DEL TRABAJO TERRITORIAL MAGDALENA;800226041;Magdalena;No Definido;;
MUNICIPIO DE MONGUI;891856555;No Definido;No Definido;;
MINISTERIO DE DEFENSA- EJERCITO NACIONAL - CENTRAL ADMINISTRATIVA Y CONTABLE BUENAVISTA;800130681;La Guajira;Riohacha;;
DISPENSARIO MEDICO DE MEDELLÍN;8300396705;Antioquia;Medellín;;
MUNICIPIO DE SANTIAGO DE CALI - SECRETARIA DE SEGURIDAD Y JUSTICIA;890399011;Valle del Cauca;Cali;;
ESCUELA SUPERIOR DE GUERRA;830002634;No Definido;No Definido;;
MUNICIPIO DE CIENEGA;891801988;No Definido;No Definido;;
ESTABLECIMIENTO PENITENCIARIO MEDIANA SEGURIDAD Y CARCELARIO SONSON;811010113;Distrito Capital de Bogotá;Bogotá;;
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO AGUAS DE PALMIRA S.A. E.S.P.;900596967;Valle del Cauca;Palmira;;
EMPRESA INDUSTRIAL Y COMERCIAL LOTERIA DE CUNDINAMARCA;860037234;No Definido;No Definido;;
UNIVERSIDAD CES;8909840026;Antioquia;Medellín;;
DEPARTAMENTO DE POLICIA VICHADA;842000015;No Definido;No Definido;;
MINISTERIO DE SALUD Y PROTECCIÓN SOCIAL;900474727;Distrito Capital de Bogotá;No Definido;;
MINISTERIO DEL TRABAJO-DIRECCION TERRITORIAL HUILA;800216593;Huila;No Definido;;
ALCALDIA LOCAL DE USAQUEN;899999061;No Definido;No Definido;;
MUNICIPIO DE PRADERA;891380115;No Definido;No Definido;;
CENTRAL ADMINISTRATIVA Y CONTABLE DE  VILLAVICENCIO - CENAC VILLAVICENCIO;800130752;Meta;Villavicencio;;
CONCEJO MUNICIPAL DE MEDELLIN;890905211;Antioquia;Medellín;;
EMPRESA DE RENOVACION Y DESARROLLO URBANO ERUM S.A.S;810000319;Caldas;Manizales;;
MUNICIPIO DE TELLO;891180127;No Definido;No Definido;;
DISPENSARIO MEDICO TOLEMAIDA;830039670;Cundinamarca;Nilo;;
INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO REGIONAL NOROESTE;811011575;Antioquia;Medellín;;
INSTITUCION EDUCATIVA RURAL DEPARTAMENTAL INSTITUTO DE PROMOCION SOCIAL;832001324;No Definido;No Definido;;
ASOCIACIÓN CANAL LOCAL DE TELEVISIÓN DE MEDELLIN - TELEMEDELLIN;811006762;Antioquia;Medellín;;
POLICIA METROPOLITANA DE VILLAVICENCIO;900486513;No Definido;No Definido;;
ASAMBLEA DEPARTAMENTAL DEL TOLIMA;809000799;Tolima;Ibagué;;
MUNICIPIO DE RAMIRIQUI;891801280;Boyacá;Ramiriquí;;
RADIO TELEVISION NACIONAL DE COLOMBIA.;900002583;No Definido;No Definido;;
MUNICIPIO DE PLANETA RICA CORDOBA;800096765;No Definido;No Definido;;
PERSONERIA MUNICIPAL DE TENJO;800095174;Cundinamarca;Tenjo;;
AREA METROPOLITANA CENTRO OCCIDENTE;891410902;Risaralda;Pereira;;
Alcaldia Municipal de Sutamarchan;800030988;Boyacá;Sutamarchán;;
CARCEL Y PENITENCIARIA DE MEDIA SEGURIDAD DE PUERTO TRIUNFO;900356765;Antioquia;Puerto Triunfo;;
MUNICIPIO DE MEDELLIN;890905211;Antioquia;Medellín;;
PERSONERÍA MUNICIPAL DE EBÉJICO;890983664;Antioquia;Ebéjico;;
BASE NAVAL ARC BOLIVAR;800141645;Bolívar;Cartagena;;
GRUPO AÉREO DEL CARIBE;800141634;San Andrés, Providencia y Santa Catalina;San Andrés;;
ESE CENTRO DE SALUD SAN JOSE DE NIMAIMA;832009187;No Definido;No Definido;;
DEPARTAMENTO DE POLICIA URABA;800141103;Antioquia;Apartadó;;
INSTITUCION EDUCATIVA HERNANDO GELVEZ SUAREZ;820002364;No Definido;No Definido;;
ALCALDIA MUNICIPIO DE CAJICA;899999465;Distrito Capital de Bogotá;No Definido;;
MUNICIPIO DE PUERTO NARE;8909810008;No Definido;No Definido;;
ESAP TERRITORIAL CAUCA;800117528;Cauca;Popayán;;
COMISION COLOMBIANA DEL OCEANO;800163158;No Definido;No Definido;;
DEPARTAMENTO DEL VALLE DEL CAUCA - OFICINA PARA LA TRANSPARENCIA DE LA GESTIÓN PÚBLICA;890399029;Valle del Cauca;Cali;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD DE RAMIRIQUI - INPEC;820000975;Distrito Capital de Bogotá;Bogotá;;
ICBF REGIONAL VICHADA;899999239;Vichada;Puerto Carreño;;
SENA REGIONAL AMAZONAS Grupo de Apoyo Administrativo Mixto;899999034;Amazonas;Leticia;;
MUNICIPIO DEL CARMEN;800099238;Norte de Santander;El Carmen;;
INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL GUAINIA;899999069;Guainía;Inírida;;
ALCALDIA DISTRITO DE RIOHACHA;892115007;No Definido;No Definido;;
MINISTERIO DEL TRABAJO DIRECCION TERRITORIAL DE CORDOBA;800216323;Córdoba;Montería;;
HOSPITAL SANTA BARBARA EMPRESA SOCIAL DEL ESTADO;890701010;Tolima;Venadillo;;
DANE -DIRECCIÓN TERRITORIAL CENTRO;899999027;Distrito Capital de Bogotá;Bogotá;;
ICBF REGIONAL CASANARE;899999239;Casanare;No Definido;;
GOBERNACION DEL CHOCÓ;891680010;Chocó;Quibdó;;
INSTITUCION EDUCATIVA RURAL DEPARTAMENTAL RINCON GRANDE;832006683;Cundinamarca;Caqueza;;
ALCALDÍA MUNICIPAL DE AQUITANIA;800077545;Boyacá;Aquitania;;
MUNICIPIO DE TOPAGA;891856625;No Definido;No Definido;;
SENA REGIONAL DISTRITO CAPITAL Grupo Administrativo Intercentros CGMLTI;899999034;Distrito Capital de Bogotá;Bogotá;;
INSTITUTO DISTRITAL PARA LA PROTECCIÓN DE LA NIÑEZ Y LA JUVENTUD - IDIPRON;899999333;No Definido;No Definido;;
MUNICIPIO DE MARIPI;800024789;Boyacá;Maripí;;
FONDO MUNICIPAL DE VIVIENDA DE INTERÉS SOCIAL Y REFORMA URBANA DE PUERTO TEJADA;817000320;Cauca;Puerto Tejada;;
DEFENSORÍA DEL PUEBLO;800186061;Distrito Capital de Bogotá;Bogotá;;
CONTRALORIA GENERAL DE LA REPUBLICA-CGR-GERENCIA DEPARTAMENTAL SUCRE;899999067;Sucre;Sincelejo;;
SENA REGIONAL SANTANDER Grupo Administrativo CA;899999034;Santander;San Gil;;
INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI;899999004;Valle del Cauca;Cali;;
DIRECCION TERRITORIAL DE ARAUCA MINISTERIO DE TRABAJO;834001348;Arauca;Arauca;;
ESCUELA DE POSTGRADOS DE POLICÍA MIGUEL ANTONIO LLERAS PIZARRO;800226849;Distrito Capital de Bogotá;No Definido;;
ALCALDÍA MUNICIPAL DE COCORNÁ;890984634;No Definido;No Definido;;
CONTRALORIA DISTRITAL DE CARTAGENA DE INDIAS;800194000;Bolívar;Cartagena;;
ESE HOSPITAL LOCAL SANTA BARBARA DE PINTO;819004347;Magdalena;Santa Bárbara De Pinto;;
AGENCIA DE CUNDINAMARCA PARA LA PAZ Y LA CONVIVENCIA - ACPC;901024331;Distrito Capital de Bogotá;Bogotá;;
NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE TEORAMA;800017022;No Definido;No Definido;;
INSTITUCION EDUCATIVA MUNICIPAL LICEO INTEGRADO DE ZIPAQUIRA;832004884;Cundinamarca;Zipaquirá;;
SUPERINTENDENCIA NACIONAL DE SALUD;860062187;Distrito Capital de Bogotá;Bogotá;;
MUNICIPIO DE EL BAGRE;890984221;No Definido;No Definido;;
E.S.E HOSPITAL NUESTRA SEÑORA DEL CARMEN DEL COLEGIO;860020094;No Definido;No Definido;;
SENA REGIONAL PUTUMAYO Grupo de Apoyo Administrativo;899999034;Putumayo;Puerto Asís;;
MUNICIPIO DE LEJANIAS;892099242;Meta;Lejanías;;
